        Spiketime[s]     corrSpiketime[s]                  ISI             instFreq
           16.550570            16.550570             0.011210            89.206066
           16.561500            16.561500             0.010930            91.491308
           16.572380            16.572380             0.010880            91.911765
           16.582720            16.582720             0.010340            96.711799
           16.592170            16.592170             0.009450           105.820106
           16.616240            16.616240             0.024070            41.545492
           17.174330            17.174330             0.013690            73.046019
           17.185830            17.185830             0.011500            86.956522
           17.190210            17.190210             0.004380           228.310502
           17.204870            17.204870             0.014660            68.212824
           17.213540            17.213540             0.008670           115.340254
           17.226730            17.226730             0.013190            75.815011
           17.235340            17.235340             0.008610           116.144019
           17.247290            17.247290             0.011950            83.682008
           17.267600            17.267600             0.020310            49.236829
           17.804490            17.804490             0.006630           150.829563
           17.820520            17.820520             0.016030            62.383032
           17.837890            17.837890             0.017370            57.570524
           17.841000            17.841000             0.003110           321.543408
           17.858610            17.858610             0.017610            56.785917
           17.861440            17.861440             0.002830           353.356890
           17.881240            17.881240             0.019800            50.505051
           17.890390            17.890390             0.009150           109.289617
           18.464400            18.464400             0.008170           122.399021
           18.478070            18.478070             0.013670            73.152890
           18.480680            18.480680             0.002610           383.141762
           18.498030            18.498030             0.017350            57.636888
           18.502730            18.502730             0.004700           212.765957
           18.520100            18.520100             0.017370            57.570524
           18.523300            18.523300             0.003200           312.500000
           18.543350            18.543350             0.020050            49.875312
           18.551850            18.551850             0.008500           117.647059
           19.113880            19.113880             0.001510           662.251656
           19.132020            19.132020             0.018140            55.126792
           19.153800            19.153800             0.021780            45.913682
           19.155180            19.155180             0.001380           724.637681
           19.175420            19.175420             0.020240            49.407115
           19.207710            19.207710             0.032290            30.969340
           19.770110            19.770110             0.005800           172.413793
           19.785530            19.785530             0.015420            64.850843
           19.788440            19.788440             0.002910           343.642612
           19.804550            19.804550             0.016110            62.073246
           19.810910            19.810910             0.006360           157.232704
           19.826110            19.826110             0.015200            65.789474
           19.832660            19.832660             0.006550           152.671756
           19.846070            19.846070             0.013410            74.571216
           19.882650            19.882650             0.036580            27.337343
           20.416040            20.416040             0.006450           155.038760
           20.429160            20.429160             0.013120            76.219512
           20.434550            20.434550             0.005390           185.528757
           20.446190            20.446190             0.011640            85.910653
           20.455710            20.455710             0.009520           105.042017
           20.466990            20.466990             0.011280            88.652482
           20.477030            20.477030             0.010040            99.601594
           20.486800            20.486800             0.009770           102.354145
           20.516720            20.516720             0.029920            33.422460
           21.064540            21.064540             0.005720           174.825175
           21.077930            21.077930             0.013390            74.682599
           21.080690            21.080690             0.002760           362.318841
           21.095730            21.095730             0.015040            66.489362
           21.100150            21.100150             0.004420           226.244344
           21.119140            21.119140             0.018990            52.659294
           21.122580            21.122580             0.003440           290.697674
           21.140840            21.140840             0.018260            54.764513
           21.147800            21.147800             0.006960           143.678161
           21.717210            21.717210             0.005460           183.150183
           21.733250            21.733250             0.016040            62.344140
           21.735350            21.735350             0.002100           476.190476
           21.750250            21.750250             0.014900            67.114094
           21.756380            21.756380             0.006130           163.132137
           21.772360            21.772360             0.015980            62.578223
           21.777330            21.777330             0.004970           201.207243
           21.794790            21.794790             0.017460            57.273769
           21.805120            21.805120             0.010330            96.805421
           22.364370            22.364370             0.006550           152.671756
           22.378880            22.378880             0.014510            68.917988
           22.380480            22.380480             0.001600           625.000000
           22.398220            22.398220             0.017740            56.369786
           22.403310            22.403310             0.005090           196.463654
           22.419250            22.419250             0.015940            62.735257
           22.424140            22.424140             0.004890           204.498978
           22.441160            22.441160             0.017020            58.754407
